sample_id,source_video_id,window_id,noise_level,mean_bubble_count,max_bubble_count,std_bubble_count,continuity_ratio,mean_vertical_chain,temporal_variance,prev3_mean_bubble_count,prev3_std_bubble_count,prev3_continuity_ratio,prev3_mean_vertical_chain,leak_evolution,label
L_G12_PSI05_V001_W0000,L_G12_PSI05_V001,0,30,1.3,4.0,1.590588,0.5,1.5,2.52997,0.0,0.0,0.0,0.0,1.3,0
L_G12_PSI05_V001_W0001,L_G12_PSI05_V001,1,30,0.8,2.0,1.032796,0.4,1.4,1.066667,1.3,1.590588,0.5,1.5,-0.5,0
L_G12_PSI05_V001_W0002,L_G12_PSI05_V001,2,30,1.1,4.0,1.791957,0.3,1.3,3.211111,1.05,1.311692,0.45,1.45,0.05,0
L_G12_PSI05_V001_W0003,L_G12_PSI05_V001,3,30,0.8,4.0,1.398412,0.3,1.2,1.955556,1.066667,1.47178,0.4,1.4,-0.266667,0
L_G12_PSI05_V001_W0004,L_G12_PSI05_V001,4,30,1.2,3.0,1.274768,0.5,1.7,1.625033,0.9,1.407722,0.333333,1.3,0.3,0
L_G12_PSI05_V001_W0005,L_G12_PSI05_V001,5,30,2.1,7.0,2.144482,0.6,2.6,4.598803,1.033333,1.488379,0.366667,1.4,1.066667,1
L_G12_PSI05_V001_W0006,L_G12_PSI05_V001,6,30,5.7,9.0,3.125632,0.9,4.4,9.769578,1.366667,1.605887,0.466667,1.833333,4.333333,1
L_G12_PSI05_V001_W0007,L_G12_PSI05_V001,7,30,9.0,17.0,3.522197,1.0,4.2,12.405875,3.0,2.181627,0.666667,2.9,6.0,1
L_G12_PSI05_V001_W0008,L_G12_PSI05_V001,8,30,5.6,10.0,4.110801,0.9,2.1,16.898685,5.6,2.930771,0.833333,3.733333,-0.0,1
L_G12_PSI05_V001_W0009,L_G12_PSI05_V001,9,30,11.3,16.0,3.36453,1.0,4.1,11.320063,6.766667,3.58621,0.933333,3.566667,4.533333,1
L_G12_PSI05_V001_W0010,L_G12_PSI05_V001,10,30,3.1,13.0,2.981689,1.0,2.1,8.89047,8.633333,3.665843,0.966667,3.466667,-5.533333,1
L_G12_PSI05_V001_W0011,L_G12_PSI05_V001,11,30,6.4,12.0,3.428396,0.9,2.0,11.7539,6.666667,3.485673,0.966667,2.766667,-0.266667,1
